,id,Фамилия1,Имя1,Очество1,Фамилия2,Имя2,Очество2,,,,,,,
8,927633,Бервинов,Ярослав,Никитович,Капуреник,Альбина,Аркадьевна,,,,Бервинов,Ярослав,Никитович,БервиновЯрославНикитович
31,927664,Ивко,Лариса,Васильевна,Холманских,Георгий,Викторович,,,,Ивко,Лариса,Васильевна,ИвкоЛарисаВасильевна
36,927700,Чавкин,Петр,Владимирович,Генатулин,Ян,Артурович,,,,Чавкин,Петр,Владимирович,ЧавкинПетрВладимирович
927,928627,Баутина,Надежда,Альбертовна,Дедюхина,Татьяна,Юрьевна,,,,Баутина,Надежда,Альбертовна,БаутинаНадеждаАльбертовна
511,929138,Краснова,Ольга,Даниловна,Базулева,Кристина,Руслановна,,,,Краснова,Ольга,Даниловна,КрасноваОльгаДаниловна
84,929222,Голоспинкин,Дамир,Станиславович,Шутова,Светлана,Игоревна,,,,Голоспинкин,Дамир,Станиславович,ГолоспинкинДамирСтаниславович
41,929263,Жуламанов,Николай,Борисович,Лоськов,Петр,Артурович,,,,Жуламанов,Николай,Борисович,ЖуламановНиколайБорисович
147,929410,Стахов,Дмитрий,Витальевич,Барышова,Полина,Яновна,,,,Стахов,Дмитрий,Витальевич,СтаховДмитрийВитальевич
157,929567,Ренников,Ильдар,Артемович,Коковцева,Екатерина,Владимировна,,,,Ренников,Ильдар,Артемович,РенниковИльдарАртемович
18,929585,Украинец,Эльвира,Антоновна,Зайналов,Марат,Борисович,,,,Украинец,Эльвира,Антоновна,УкраинецЭльвираАнтоновна
494,930079,Шиманский,Владислав,Федорович,Стецовская,Татьяна,Николаевна,,,,Шиманский,Владислав,Федорович,ШиманскийВладиславФедорович
660,930739,Иванцов,Григорий,Константинович,Баруткин,Ефим,Ефимович,,,,Иванцов,Григорий,Константинович,ИванцовГригорийКонстантинович
378,931117,Поротов,Юрий,Михаилович,Печальнова,Эльвира,Денисовна,,,,Поротов,Юрий,Михаилович,ПоротовЮрийМихаилович
86,931203,Шульгинский,Вячеслав,Иванович,Боштан,Степан,Ефимович,,,,Шульгинский,Вячеслав,Иванович,ШульгинскийВячеславИванович
256,931459,Бурлак,Валерий,Петрович,Кузменкова,Лилия,Максимовна,,,,Бурлак,Валерий,Петрович,БурлакВалерийПетрович
60,931519,Дауленова,Маргарита,Андреевна,Мучкаева,Маргарита,Ильдаровна,,,,Дауленова,Маргарита,Андреевна,ДауленоваМаргаритаАндреевна
71,931590,Голостенов,Артур,Павлович,Монгловская,Гульнара,Аркадьевна,,,,Голостенов,Артур,Павлович,ГолостеновАртурПавлович
298,931888,Гришутова,Галина,Евгеньевна,Илялетдинов,Илья,Степанович,,,,Гришутова,Галина,Евгеньевна,ГришутоваГалинаЕвгеньевна
1014,932902,Тунникова,Александра,Артуровна,Балашкова,Валерия,Ивановна,,,,Тунникова,Александра,Артуровна,ТунниковаАлександраАртуровна
101,933003,Зябкин,Роман,Николаевич,Терехин,Роберт,Владиславович,,,,Зябкин,Роман,Николаевич,ЗябкинРоманНиколаевич
74,933077,Микешин,Николай,Анатольевич,Аничкин,Ярослав,Георгиевич,,,,Микешин,Николай,Анатольевич,МикешинНиколайАнатольевич
23,933100,Антоненко,Вероника,Ильинична,Павлыгина,Мария,Никитовна,,,,Антоненко,Вероника,Ильинична,АнтоненкоВероникаИльинична
301,933401,Фитилев,Виталий,Дмитриевич,Хин,Кирилл,Ильдарович,,,,Фитилев,Виталий,Дмитриевич,ФитилевВиталийДмитриевич
121,933522,Месяцев,Валентин,Ринатович,Руссова,Вероника,Ивановна,,,,Месяцев,Валентин,Ринатович,МесяцевВалентинРинатович
92,933614,Карпоносов,Роман,Анатольевич,Боровцова,Тамара,Михаиловна,,,,Карпоносов,Роман,Анатольевич,КарпоносовРоманАнатольевич
126,933740,Мордвинцев,Сергей,Рамилевич,Альтов,Тимур,Денисович,,,,Мордвинцев,Сергей,Рамилевич,МордвинцевСергейРамилевич
61,933801,Абраменко,Григорий,Ярославович,Гочкулиев,Анатолий,Станиславович,,,,Абраменко,Григорий,Ярославович,АбраменкоГригорийЯрославович
173,933974,Проскудин,Альберт,Дамирович,Полканова,Диана,Аркадьевна,,,,Проскудин,Альберт,Дамирович,ПроскудинАльбертДамирович
5,933979,Шагарова,Алина,Ильдаровна,Печень,Роберт,Ярославович,,,,Шагарова,Алина,Ильдаровна,ШагароваАлинаИльдаровна
597,934576,Голубев,Антон,Ярославович,Силецкий,Марат,Филиппович,,,,Голубев,Антон,Ярославович,ГолубевАнтонЯрославович
36,934612,Полуверцев,Дамир,Степанович,Хащеватский,Георгий,Максимович,,,,Полуверцев,Дамир,Степанович,ПолуверцевДамирСтепанович
154,934766,Светозаров,Вячеслав,Петрович,Гонорская,Эльмира,Вадимовна,,,,Светозаров,Вячеслав,Петрович,СветозаровВячеславПетрович
118,934884,Соковникова,Светлана,Владиславовна,Тугарева,Ольга,Витальевна,,,,Соковникова,Светлана,Владиславовна,СоковниковаСветланаВладиславовна
288,935172,Хотина,Раиса,Борисовна,Данкова,Анжелика,Александровна,,,,Хотина,Раиса,Борисовна,ХотинаРаисаБорисовна
19,935191,Гарифуллин,Геннадий,Робертович,Люшков,Федор,Глебович,,,,Гарифуллин,Геннадий,Робертович,ГарифуллинГеннадийРобертович
146,935337,Басукинский,Леонид,Ильич,Ефетова,Эльмира,Радиковна,,,,Басукинский,Леонид,Ильич,БасукинскийЛеонидИльич
253,935590,Беленцова,Алена,Радиковна,Буятова,Александра,Борисовна,,,,Беленцова,Алена,Радиковна,БеленцоваАленаРадиковна
211,935801,Порунова,Татьяна,Васильевна,Ребикова,Инна,Юрьевна,,,,Порунова,Татьяна,Васильевна,ПоруноваТатьянаВасильевна
111,935912,Лифарева,Валентина,Рамилевна,Епанешникова,Любовь,Тимофеевна,,,,Лифарева,Валентина,Рамилевна,ЛифареваВалентинаРамилевна
337,936249,Садырева,Алла,Робертовна,Лествицин,Юрий,Ильдарович,,,,Садырева,Алла,Робертовна,СадыреваАллаРобертовна
139,936388,Вампилова,Олеся,Георгиевна,Маннанова,Алина,Максимовна,,,,Вампилова,Олеся,Георгиевна,ВампиловаОлесяГеоргиевна
107,936495,Хорошков,Егор,Янович,Безлепицын,Степан,Филиппович,,,,Хорошков,Егор,Янович,ХорошковЕгорЯнович
257,936752,Агеносов,Леонид,Егорович,Гораздов,Борис,Павлович,,,,Агеносов,Леонид,Егорович,АгеносовЛеонидЕгорович
56,936808,Скалов,Михаил,Русланович,Шалагинова,Кристина,Денисовна,,,,Скалов,Михаил,Русланович,СкаловМихаилРусланович
127,936935,Захаров,Максим,Яковлев,Готовцева,Галина,Тимофеевна,,,,Захаров,Максим,Яковлев,ЗахаровМаксимЯковлев
322,937257,Безрядин,Марат,Петрович,Авербух,Алексей,Федорович,,,,Безрядин,Марат,Петрович,БезрядинМаратПетрович
132,937389,Мананников,Вадим,Геннадьевич,Тамамшев,Герман,Глебович,,,,Мананников,Вадим,Геннадьевич,МананниковВадимГеннадьевич
156,937545,Романчева,Виктория,Васильевна,Намазова,Анастасия,Евгеньевна,,,,Романчева,Виктория,Васильевна,РоманчеваВикторияВасильевна
108,937653,Сегал,Денис,Ильдарович,Манойло,Лариса,Александровна,,,,Сегал,Денис,Ильдарович,СегалДенисИльдарович
156,937809,Петрилин,Станислав,Семенович,Беловзоров,Марат,Аркадьевич,,,,Петрилин,Станислав,Семенович,ПетрилинСтаниславСеменович
83,937892,Брендоева,Валентина,Семеновна,Ахапкина,Раиса,Ильдаровна,,,,Брендоева,Валентина,Семеновна,БрендоеваВалентинаСеменовна
503,938395,Куршина,Инна,Викторовна,Боцвин,Денис,Германович,,,,Куршина,Инна,Викторовна,КуршинаИннаВикторовна
369,938764,Солтаганов,Федор,Ефимович,Хрисогонов,Иван,Геннадьевич,,,,Солтаганов,Федор,Ефимович,СолтагановФедорЕфимович
0,938764,Самолов,Михаил,Алексеевич,Двигубская,Яна,Ивановна,,,,Самолов,Михаил,Алексеевич,СамоловМихаилАлексеевич
350,939114,Сухачев,Дамир,Сергеевич,Веслов,Владислав,Яковлев,,,,Сухачев,Дамир,Сергеевич,СухачевДамирСергеевич
249,939363,Аптраков,Кирилл,Глебович,Непочатых,Ирина,Ильинична,,,,Аптраков,Кирилл,Глебович,АптраковКириллГлебович
30,939393,Тохтаров,Никита,Тимофеевич,Плащицина,Надежда,Маратовна,,,,Тохтаров,Никита,Тимофеевич,ТохтаровНикитаТимофеевич
178,939571,Юдицкий,Игорь,Сергеевич,Грибоедова,Инна,Ефимовна,,,,Юдицкий,Игорь,Сергеевич,ЮдицкийИгорьСергеевич
258,939829,Гоготов,Леонид,Геннадьевич,Чигвинцева,Раиса,Руслановна,,,,Гоготов,Леонид,Геннадьевич,ГоготовЛеонидГеннадьевич
439,940268,Ланчиков,Виталий,Федорович,Волохонский,Марат,Михаилович,,,,Ланчиков,Виталий,Федорович,ЛанчиковВиталийФедорович
18,940286,Вытчиков,Яков,Антонович,Назмеев,Марат,Филиппович,,,,Вытчиков,Яков,Антонович,ВытчиковЯковАнтонович
125,940411,Колмыченко,Степан,Вадимович,Сташенко,Елизавета,Марселевна,,,,Колмыченко,Степан,Вадимович,КолмыченкоСтепанВадимович
435,940846,Щепочкин,Игорь,Германович,Амина,Виктория,Максимовна,,,,Щепочкин,Игорь,Германович,ЩепочкинИгорьГерманович
113,940959,Резчикова,Дарья,Даниловна,Семякина,Галина,Кирилловна,,,,Резчикова,Дарья,Даниловна,РезчиковаДарьяДаниловна
125,941084,Томарева,Кира,Эдуардовна,Михайлина,Кристина,Александровна,,,,Томарева,Кира,Эдуардовна,ТомареваКираЭдуардовна
160,941244,Латушко,Антон,Дмитриевич,Арташонов,Георгий,Владимирович,,,,Латушко,Антон,Дмитриевич,ЛатушкоАнтонДмитриевич
107,941351,Авдиенко,Борис,Олегович,Румовский,Семен,Филиппович,,,,Авдиенко,Борис,Олегович,АвдиенкоБорисОлегович
393,941744,Будилова,Анна,Анатольевна,Едзиева,Людмила,Маратовна,,,,Будилова,Анна,Анатольевна,БудиловаАннаАнатольевна
65,941809,Зернин,Глеб,Денисович,Глотков,Виктор,Валерьевич,,,,Зернин,Глеб,Денисович,ЗернинГлебДенисович
238,942047,Кунаева,Алина,Викторовна,Тайцлина,Анна,Максимовна,,,,Кунаева,Алина,Викторовна,КунаеваАлинаВикторовна
311,942358,Михалькова,Раиса,Ивановна,Баюн,Ринат,Антонович,,,,Михалькова,Раиса,Ивановна,МихальковаРаисаИвановна
250,942608,Собинкин,Александр,Егорович,Слащилина,Кристина,Федоровна,,,,Собинкин,Александр,Егорович,СобинкинАлександрЕгорович
210,942818,Чусовлянов,Никита,Дамирович,Камилавочникова,Валентина,Тимофеевна,,,,Чусовлянов,Никита,Дамирович,ЧусовляновНикитаДамирович
186,943004,Корженевская,Альбина,Анатольевна,Айзина,Марина,Михаиловна,,,,Корженевская,Альбина,Анатольевна,КорженевскаяАльбинаАнатольевна
286,943290,Пятеренюк,Татьяна,Тимофеевна,Крупина,Анна,Викторовна,,,,Пятеренюк,Татьяна,Тимофеевна,ПятеренюкТатьянаТимофеевна
40,943330,Парфехина,Марина,Григорьевна,Будылина,Виктория,Владимировна,,,,Парфехина,Марина,Григорьевна,ПарфехинаМаринаГригорьевна
291,943621,Документова,Дарья,Ильинична,Цекова,Мария,Денисовна,,,,Документова,Дарья,Ильинична,ДокументоваДарьяИльинична
97,943718,Диканский,Юрий,Борисович,Курило,Артур,Игоревич,,,,Диканский,Юрий,Борисович,ДиканскийЮрийБорисович
309,944027,Чинарева,Татьяна,Аркадьевна,Алютина,Маргарита,Геннадьевна,,,,Чинарева,Татьяна,Аркадьевна,ЧинареваТатьянаАркадьевна
79,944106,Муллаяров,Константин,Васильевич,Ламанова,Валентина,Алексеевна,,,,Муллаяров,Константин,Васильевич,МуллаяровКонстантинВасильевич
43,944149,Сапельникова,Карина,Германовна,Берчатов,Герман,Валерьевич,,,,Сапельникова,Карина,Германовна,СапельниковаКаринаГермановна
30,944179,Артемчук,Анжелика,Николаевна,Линецкий,Артур,Алексеевич,,,,Артемчук,Анжелика,Николаевна,АртемчукАнжеликаНиколаевна
162,944341,Брюшкова,Евгения,Робертовна,Гавриленков,Руслан,Анатольевич,,,,Брюшкова,Евгения,Робертовна,БрюшковаЕвгенияРобертовна
230,944571,Ирикова,Наталья,Филипповна,Шкваров,Павел,Вячеславович,,,,Ирикова,Наталья,Филипповна,ИриковаНатальяФилипповна
91,944662,Кисляк,Лариса,Глебовна,Демчишин,Леонид,Глебович,,,,Кисляк,Лариса,Глебовна,КислякЛарисаГлебовна
135,944797,Мотылев,Павел,Константинович,Балантаев,Марат,Семенович,,,,Мотылев,Павел,Константинович,МотылевПавелКонстантинович
128,944925,Кайнарова,Карина,Леонидовна,Гошовская,Валерия,Радиковна,,,,Кайнарова,Карина,Леонидовна,КайнароваКаринаЛеонидовна
67,944992,Когогин,Роман,Русланович,Ольшанский,Дамир,Сергеевич,,,,Когогин,Роман,Русланович,КогогинРоманРусланович
98,945090,Бабалян,Альберт,Андреевич,Бухвостова,Елена,Григорьевна,,,,Бабалян,Альберт,Андреевич,БабалянАльбертАндреевич
255,945345,Петрашков,Дамир,Сергеевич,Белохвостиков,Роман,Альбертович,,,,Петрашков,Дамир,Сергеевич,ПетрашковДамирСергеевич
36,945381,Катонова,Антонина,Максимовна,Каурова,Эльвира,Антоновна,,,,Катонова,Антонина,Максимовна,КатоноваАнтонинаМаксимовна
63,945444,Сивакова,Ольга,Михаиловна,Базилюк,Альберт,Тимофеевич,,,,Сивакова,Ольга,Михаиловна,СиваковаОльгаМихаиловна
367,945811,Ворохобина,Наталья,Витальевна,Цховребов,Владимир,Федорович,,,,Ворохобина,Наталья,Витальевна,ВорохобинаНатальяВитальевна
123,945934,Прокошина,Кира,Радиковна,Салынская,Антонина,Альбертовна,,,,Прокошина,Кира,Радиковна,ПрокошинаКираРадиковна
246,946180,Беззубина,Валерия,Ринатовна,Концедалов,Яков,Юрьевич,,,,Беззубина,Валерия,Ринатовна,БеззубинаВалерияРинатовна
352,946532,Тимахов,Дамир,Степанович,Годунов,Дмитрий,Маратович,,,,Тимахов,Дамир,Степанович,ТимаховДамирСтепанович
41,946573,Татарова,Лилия,Ильдаровна,Аверинцев,Тимур,Егорович,,,,Татарова,Лилия,Ильдаровна,ТатароваЛилияИльдаровна
372,946945,Бурукина,Екатерина,Константиновна,Тетюшева,Жанна,Станиславовна,,,,Бурукина,Екатерина,Константиновна,БурукинаЕкатеринаКонстантиновна
260,947205,Барламов,Дмитрий,Эдуардович,Шушенцева,Елизавета,Тимофеевна,,,,Барламов,Дмитрий,Эдуардович,БарламовДмитрийЭдуардович
339,947544,Ситнова,Эльмира,Артуровна,Акципетров,Геннадий,Евгеньевич,,,,Ситнова,Эльмира,Артуровна,СитноваЭльмираАртуровна
253,947797,Оборская,Римма,Борисовна,Ячин,Глеб,Ефимович,,,,Оборская,Римма,Борисовна,ОборскаяРиммаБорисовна
693,948490,Верменичева,Людмила,Эдуардовна,Адамчук,Полина,Романовна,,,,Верменичева,Людмила,Эдуардовна,ВерменичеваЛюдмилаЭдуардовна
18,948508,Вербова,Ксения,Руслановна,Шиханов,Геннадий,Филиппович,,,,Вербова,Ксения,Руслановна,ВербоваКсенияРуслановна
147,948655,Хакаскина,Ксения,Глебовна,Неизвестных,Валерия,Борисовна,,,,Хакаскина,Ксения,Глебовна,ХакаскинаКсенияГлебовна
91,948746,Костюшина,Юлия,Альбертовна,Игнашев,Иван,Александрович,,,,Костюшина,Юлия,Альбертовна,КостюшинаЮлияАльбертовна
32,948778,Полунина,Алина,Егоровна,Масляк,Станислав,Артурович,,,,Полунина,Алина,Егоровна,ПолунинаАлинаЕгоровна
149,948927,Хандошкина,Ирина,Константиновна,Петровчук,Эльмира,Анатольевна,,,,Хандошкина,Ирина,Константиновна,ХандошкинаИринаКонстантиновна
272,949199,Любова,Анжелика,Федоровна,Звездочетова,Инна,Тимуровна,,,,Любова,Анжелика,Федоровна,ЛюбоваАнжеликаФедоровна
219,949418,Федченко,Павел,Альбертович,Шабунова,Эльвира,Георгиевна,,,,Федченко,Павел,Альбертович,ФедченкоПавелАльбертович
46,949464,Анипреев,Артур,Робертович,Близнецов,Роберт,Семенович,,,,Анипреев,Артур,Робертович,АнипреевАртурРобертович
91,949555,Сергевнина,Анжелика,Никитовна,Жамнова,Надежда,Яковлевна,,,,Сергевнина,Анжелика,Никитовна,СергевнинаАнжеликаНикитовна
170,949725,Терешонок,Никита,Ефимович,Квактун,Виктор,Кириллович,,,,Терешонок,Никита,Ефимович,ТерешонокНикитаЕфимович
96,949821,Головнин,Артем,Леонидович,Зыскина,Анна,Степановна,,,,Головнин,Артем,Леонидович,ГоловнинАртемЛеонидович
290,950111,Галазов,Василий,Данилович,Фалдзинский,Виталий,Геннадьевич,,,,Галазов,Василий,Данилович,ГалазовВасилийДанилович
116,950227,Калабухина,Ольга,Михаиловна,Файвель,Олег,Романович,,,,Калабухина,Ольга,Михаиловна,КалабухинаОльгаМихаиловна
221,950448,Шанявская,Оксана,Робертовна,Николаевский,Константин,Яковлев,,,,Шанявская,Оксана,Робертовна,ШанявскаяОксанаРобертовна
89,950537,Пинжаков,Глеб,Артемович,Волощенко,Филипп,Степанович,,,,Пинжаков,Глеб,Артемович,ПинжаковГлебАртемович
37,950574,Соленый,Константин,Ильдарович,Чугин,Артур,Ильич,,,,Соленый,Константин,Ильдарович,СоленыйКонстантинИльдарович
53,950627,Новожилова,Любовь,Алексеевна,Абшаров,Антон,Александрович,,,,Новожилова,Любовь,Алексеевна,НовожиловаЛюбовьАлексеевна
63,950690,Пушкарская,Алена,Маратовна,Капустина,Евгения,Тимофеевна,,,,Пушкарская,Алена,Маратовна,ПушкарскаяАленаМаратовна
406,951096,Напреенков,Виктор,Александрович,Заграевский,Глеб,Романович,,,,Напреенков,Виктор,Александрович,НапреенковВикторАлександрович
376,951472,Смолянский,Григорий,Робертович,Таиров,Константин,Эдуардович,,,,Смолянский,Григорий,Робертович,СмолянскийГригорийРобертович
80,951552,Биктаирова,Юлия,Андреевна,Недосказов,Эдуард,Янович,,,,Биктаирова,Юлия,Андреевна,БиктаироваЮлияАндреевна
40,951592,Гизатуллина,Карина,Романовна,Божук,Виталий,Вячеславович,,,,Гизатуллина,Карина,Романовна,ГизатуллинаКаринаРомановна
104,951696,Садовчук,Павел,Иванович,Будкова,Дарья,Яковлевна,,,,Садовчук,Павел,Иванович,СадовчукПавелИванович
25,951721,Мананникова,Галина,Васильевна,Документов,Валерий,Русланович,,,,Мананникова,Галина,Васильевна,МананниковаГалинаВасильевна
78,951799,Пасевич,Аркадий,Константинович,Шаврина,Кристина,Альбертовна,,,,Пасевич,Аркадий,Константинович,ПасевичАркадийКонстантинович
158,951957,Желтышева,Елизавета,Геннадьевна,Яицких,Эльвира,Андреевна,,,,Желтышева,Елизавета,Геннадьевна,ЖелтышеваЕлизаветаГеннадьевна
466,952423,Боршковская,Лилия,Алексеевна,Васинцева,Вероника,Георгиевна,,,,Боршковская,Лилия,Алексеевна,БоршковскаяЛилияАлексеевна
565,952988,Безвеселый,Анатолий,Григорьевич,Марусев,Филипп,Андреевич,,,,Безвеселый,Анатолий,Григорьевич,БезвеселыйАнатолийГригорьевич
289,953277,Адигамова,Марина,Никитовна,Рокасовская,Карина,Анатольевна,,,,Адигамова,Марина,Никитовна,АдигамоваМаринаНикитовна
402,953679,Евстегнеева,Валерия,Денисовна,Новосадко,Ирина,Валентиновна,,,,Евстегнеева,Валерия,Денисовна,ЕвстегнееваВалерияДенисовна
149,953828,Алтышев,Владислав,Эдуардович,Мартин,Сергей,Марселевич,,,,Алтышев,Владислав,Эдуардович,АлтышевВладиславЭдуардович
30,953858,Сабитов,Денис,Станиславович,Байжанова,Эльвира,Владиславовна,,,,Сабитов,Денис,Станиславович,СабитовДенисСтаниславович
67,953925,Есакова,Алла,Радиковна,Кижеватов,Борис,Дамирович,,,,Есакова,Алла,Радиковна,ЕсаковаАллаРадиковна
15,953940,Сильвестов,Аркадий,Геннадьевич,Яцюк,Тимофей,Георгиевич,,,,Сильвестов,Аркадий,Геннадьевич,СильвестовАркадийГеннадьевич
264,954204,Кочмазов,Валерий,Радикович,Кузичева,Анжелика,Ринатовна,,,,Кочмазов,Валерий,Радикович,КочмазовВалерийРадикович
342,954546,Зварковский,Геннадий,Маратович,Белолипецкий,Данил,Альбертович,,,,Зварковский,Геннадий,Маратович,ЗварковскийГеннадийМаратович
103,954649,Авр,Николай,Викторович,Коваленко,Римма,Робертовна,,,,Авр,Николай,Викторович,АврНиколайВикторович
180,954829,Чамина,Оксана,Федоровна,Чикало,Тимур,Юрьевич,,,,Чамина,Оксана,Федоровна,ЧаминаОксанаФедоровна
86,954915,Малафеева,Алена,Эдуардовна,Пасикратова,Наталья,Артемовна,,,,Малафеева,Алена,Эдуардовна,МалафееваАленаЭдуардовна
129,955044,Буйвид,Геннадий,Вадимович,Рудановский,Рамиль,Сергеевич,,,,Буйвид,Геннадий,Вадимович,БуйвидГеннадийВадимович
133,955177,Сократов,Ильдар,Алексеевич,Рыквский,Антон,Ринатович,,,,Сократов,Ильдар,Алексеевич,СократовИльдарАлексеевич
109,955286,Никушин,Ярослав,Егорович,Коридалин,Михаил,Дамирович,,,,Никушин,Ярослав,Егорович,НикушинЯрославЕгорович
251,955537,Благоразумов,Илья,Дмитриевич,Демусева,Светлана,Денисовна,,,,Благоразумов,Илья,Дмитриевич,БлагоразумовИльяДмитриевич
447,955984,Сахненко,Ирина,Валентиновна,Тюмина,Ирина,Тимуровна,,,,Сахненко,Ирина,Валентиновна,СахненкоИринаВалентиновна
3,955987,Синькова,Анастасия,Владиславовна,Абдулин,Ярослав,Русланович,,,,Синькова,Анастасия,Владиславовна,СиньковаАнастасияВладиславовна
270,956257,Юркевич,Юлия,Георгиевна,Пимонов,Валерий,Алексеевич,,,,Юркевич,Юлия,Георгиевна,ЮркевичЮлияГеоргиевна
88,956345,Умянцева,Татьяна,Михаиловна,Аджемова,Елизавета,Ринатовна,,,,Умянцева,Татьяна,Михаиловна,УмянцеваТатьянаМихаиловна
123,956468,Ткаленко,Валерий,Артурович,Станищев,Артур,Ринатович,,,,Ткаленко,Валерий,Артурович,ТкаленкоВалерийАртурович
129,956597,Душко,Марина,Аркадьевна,Левкова,Ирина,Дмитриевна,,,,Душко,Марина,Аркадьевна,ДушкоМаринаАркадьевна
314,956911,Бульская,Ирина,Ярославовна,Фойницкий,Марат,Радикович,,,,Бульская,Ирина,Ярославовна,БульскаяИринаЯрославовна
347,957258,Мамедбекова,Светлана,Николаевна,Панева,Тамара,Юрьевна,,,,Мамедбекова,Светлана,Николаевна,МамедбековаСветланаНиколаевна
50,957308,Смеловский,Вячеслав,Данилович,Гриднев,Владислав,Олегович,,,,Смеловский,Вячеслав,Данилович,СмеловскийВячеславДанилович
11,957319,Брюховских,Вячеслав,Витальевич,Асафова,Дарья,Антоновна,,,,Брюховских,Вячеслав,Витальевич,БрюховскихВячеславВитальевич
28,957347,Тверских,Николай,Артурович,Варлашина,Тамара,Яковлевна,,,,Тверских,Николай,Артурович,ТверскихНиколайАртурович
7,957354,Рыжих,Надежда,Анатольевна,Саликова,Анжелика,Вадимовна,,,,Рыжих,Надежда,Анатольевна,РыжихНадеждаАнатольевна
163,957517,Заблудовская,Валентина,Витальевна,Мокроусов,Геннадий,Павлович,,,,Заблудовская,Валентина,Витальевна,ЗаблудовскаяВалентинаВитальевна
61,957578,Просвирницына,Ксения,Сергеевна,Злыгостева,Маргарита,Ефимовна,,,,Просвирницына,Ксения,Сергеевна,ПросвирницынаКсенияСергеевна
5,957583,Мамедгасанова,Оксана,Георгиевна,Шутовых,Николай,Анатольевич,,,,Мамедгасанова,Оксана,Георгиевна,МамедгасановаОксанаГеоргиевна
205,957788,Селевина,Диана,Ринатовна,Арсений,Филипп,Степанович,,,,Селевина,Диана,Ринатовна,СелевинаДианаРинатовна
127,957915,Гораздов,Роберт,Янович,Кашперко,Алина,Эдуардовна,,,,Гораздов,Роберт,Янович,ГораздовРобертЯнович
403,958318,Мараховская,Дарья,Романовна,Пафомова,Кира,Вадимовна,,,,Мараховская,Дарья,Романовна,МараховскаяДарьяРомановна
79,958397,Антакова,Раиса,Тимуровна,Брюховских,Герман,Максимович,,,,Антакова,Раиса,Тимуровна,АнтаковаРаисаТимуровна
121,958518,Любичева,Яна,Степановна,Сива,Маргарита,Филипповна,,,,Любичева,Яна,Степановна,ЛюбичеваЯнаСтепановна
55,958573,Данчева,Лариса,Степановна,Кипарский,Станислав,Александрович,,,,Данчева,Лариса,Степановна,ДанчеваЛарисаСтепановна
136,958709,Зиманов,Тимур,Борисович,Шапиева,Любовь,Аркадьевна,,,,Зиманов,Тимур,Борисович,ЗимановТимурБорисович
335,959044,Шальнов,Антон,Дамирович,Звонков,Яков,Анатольевич,,,,Шальнов,Антон,Дамирович,ШальновАнтонДамирович
11,959055,Пургина,Ирина,Анатольевна,Карапетян,Маргарита,Борисовна,,,,Пургина,Ирина,Анатольевна,ПургинаИринаАнатольевна
205,959260,Алампиева,Яна,Германовна,Бондарчук,Вероника,Яновна,,,,Алампиева,Яна,Германовна,АлампиеваЯнаГермановна
83,959343,Болтышева,Елизавета,Петровна,Хизин,Виктор,Викторович,,,,Болтышева,Елизавета,Петровна,БолтышеваЕлизаветаПетровна
69,959412,Граковская,Виктория,Борисовна,Цебаковская,Кристина,Николаевна,,,,Граковская,Виктория,Борисовна,ГраковскаяВикторияБорисовна
686,960098,Вадбальский,Марсель,Евгеньевич,Кадакина,Ирина,Геннадьевна,,,,Вадбальский,Марсель,Евгеньевич,ВадбальскийМарсельЕвгеньевич
155,960253,Агаркова,Дарья,Борисовна,Шмарев,Вячеслав,Марселевич,,,,Агаркова,Дарья,Борисовна,АгарковаДарьяБорисовна
129,960382,Летникова,Олеся,Кирилловна,Карлин,Денис,Сергеевич,,,,Летникова,Олеся,Кирилловна,ЛетниковаОлесяКирилловна
29,960411,Нурмухамедов,Руслан,Константинович,Екотов,Юрий,Николаевич,,,,Нурмухамедов,Руслан,Константинович,НурмухамедовРусланКонстантинович
112,960523,Рябчикова,Гульнара,Федоровна,Окольский,Валерий,Кириллович,,,,Рябчикова,Гульнара,Федоровна,РябчиковаГульнараФедоровна
337,960860,Кулигина,Алла,Григорьевна,Пикалев,Ильдар,Данилович,,,,Кулигина,Алла,Григорьевна,КулигинаАллаГригорьевна
4,960864,Кузмик,Валерия,Дамировна,Полтавский,Максим,Евгеньевич,,,,Кузмик,Валерия,Дамировна,КузмикВалерияДамировна
86,960950,Стриганова,Элина,Денисовна,Кутепов,Игорь,Юрьевич,,,,Стриганова,Элина,Денисовна,СтригановаЭлинаДенисовна
437,961387,Цигенбаум,Илья,Викторович,Негин,Ильдар,Викторович,,,,Цигенбаум,Илья,Викторович,ЦигенбаумИльяВикторович
136,961523,Патренин,Тимур,Витальевич,Халиулин,Ян,Германович,,,,Патренин,Тимур,Витальевич,ПатренинТимурВитальевич
60,961583,Мантуров,Роберт,Борисович,Турчанин,Георгий,Ринатович,,,,Мантуров,Роберт,Борисович,МантуровРобертБорисович
382,961965,Урусбиева,Марина,Артуровна,Пшеничный,Марат,Витальевич,,,,Урусбиева,Марина,Артуровна,УрусбиеваМаринаАртуровна
136,962101,Вольф,Дмитрий,Леонидович,Быдаш,Радик,Эдуардович,,,,Вольф,Дмитрий,Леонидович,ВольфДмитрийЛеонидович
449,962550,Росомахина,Дарья,Тимофеевна,Алик,Олеся,Робертовна,,,,Росомахина,Дарья,Тимофеевна,РосомахинаДарьяТимофеевна
